Classification,Compared to,identical,SurfMatches,PCL Matches,ICP Similarityscore,ColorHistDistance,guess,neighborsWithDist
KoellnMuesliKnusperHonigNuss,PfannerGruneIcetea,0,8,1,4.08019e-05,0.85856,0,KoellnMuesliKnusperHonigNuss 0.718218;
KoellnMuesliKnusperHonigNuss,PfannerGruneIcetea,0,12,2,5.03014e-05,0.852705,0,KoellnMuesliKnusperHonigNuss 0.692443;
KoellnMuesliKnusperHonigNuss,PfannerGruneIcetea,0,11,1,5.18379e-05,0.85812,0,KoellnMuesliKnusperHonigNuss 0.688546;
KoellnMuesliKnusperHonigNuss,PfannerGruneIcetea,0,13,1,6.08231e-05,0.951012,0,KoellnMuesliKnusperHonigNuss 0.680777;
KoellnMuesliKnusperHonigNuss,PfannerGruneIcetea,0,11,1,5.46149e-05,0.860398,0,KoellnMuesliKnusperHonigNuss 0.680710;
KoellnMuesliKnusperHonigNuss,PfannerGruneIcetea,0,12,3,5.07449e-05,0.858081,0,KoellnMuesliKnusperHonigNuss 0.697604;
KoellnMuesliKnusperHonigNuss,PfannerGruneIcetea,0,15,3,6.22874e-05,0.860722,0,KoellnMuesliKnusperHonigNuss 0.701169;
KoellnMuesliKnusperHonigNuss,SojaMilch,0,12,2,1.27961e-05,0.856226,0,KoellnMuesliKnusperHonigNuss 0.688375;
KoellnMuesliKnusperHonigNuss,SojaMilch,0,9,4,1.61358e-05,0.844357,0,KoellnMuesliKnusperHonigNuss 0.678029;
KoellnMuesliKnusperHonigNuss,SojaMilch,0,10,3,1.47876e-05,0.848494,0,KoellnMuesliKnusperHonigNuss 0.672857;
KoellnMuesliKnusperHonigNuss,SojaMilch,0,10,2,1.62472e-05,0.85875,0,KoellnMuesliKnusperHonigNuss 0.730186;
KoellnMuesliKnusperHonigNuss,SojaMilch,0,9,2,1.3682e-05,0.853427,0,KoellnMuesliKnusperHonigNuss 0.703367;
KoellnMuesliKnusperHonigNuss,SojaMilch,0,10,3,1.40436e-05,0.839796,0,KoellnMuesliKnusperHonigNuss 0.692972;
KoellnMuesliKnusperHonigNuss,SojaMilch,0,9,2,1.62534e-05,0.856332,0,KoellnMuesliKnusperHonigNuss 0.699887;
KoellnMuesliKnusperHonigNuss,SojaMilch,0,8,2,1.39371e-05,0.846053,0,KoellnMuesliKnusperHonigNuss 0.705506;
KoellnMuesliKnusperHonigNuss,SojaMilch,0,12,2,1.34677e-05,0.85028,0,KoellnMuesliKnusperHonigNuss 0.694028;
KoellnMuesliKnusperHonigNuss,SojaMilch,0,11,3,1.73265e-05,0.855775,0,KoellnMuesliKnusperHonigNuss 0.687761;
AlbiHimbeerJuice,KoellnMuesliKnusperHonigNuss,0,20,1,0.000214626,0.626522,0,AlbiHimbeerJuice 0.655160; KoellnMuesliKnusperHonigNuss 0.624324; SojaMilch 0.622180;
AlbiHimbeerJuice,KoellnMuesliKnusperHonigNuss,0,17,0,0.000223148,0.605177,0,AlbiHimbeerJuice 0.643806; KoellnMuesliKnusperHonigNuss 0.642784; SpitzenReis 0.616932;
AlbiHimbeerJuice,KoellnMuesliKnusperHonigNuss,0,17,1,0.000219961,0.595489,0,AlbiHimbeerJuice 0.680613; KoellnMuesliKnusperHonigNuss 0.658319;
AlbiHimbeerJuice,KoellnMuesliKnusperHonigNuss,0,21,0,0.000230826,0.613183,0,AlbiHimbeerJuice 0.684343;
AlbiHimbeerJuice,KoellnMuesliKnusperHonigNuss,0,19,0,0.000224921,0.616302,0,AlbiHimbeerJuice 0.712911;
AlbiHimbeerJuice,KoellnMuesliKnusperHonigNuss,0,14,1,0.000239684,0.628419,0,AlbiHimbeerJuice 0.695471;
AlbiHimbeerJuice,KoellnMuesliKnusperHonigNuss,0,10,0,0.000233202,0.682252,0,AlbiHimbeerJuice 0.665621; KoellnMuesliKnusperHonigNuss 0.645115;
AlbiHimbeerJuice,KoellnMuesliKnusperHonigNuss,0,15,0,0.000218217,0.611046,0,AlbiHimbeerJuice 0.682813; SojaMilch 0.648139; KoellnMuesliKnusperHonigNuss 0.639112;
AlbiHimbeerJuice,KoellnMuesliKnusperHonigNuss,0,20,0,0.000217409,0.615253,0,AlbiHimbeerJuice 0.697584;
AlbiHimbeerJuice,KoellnMuesliKnusperHonigNuss,0,18,1,0.000215522,0.606735,0,AlbiHimbeerJuice 0.656635; KoellnMuesliKnusperHonigNuss 0.653699; SpitzenReis 0.631642;
AlbiHimbeerJuice,AlbiHimbeerJuice,1,18,1,0.000210667,0.615243,0,AlbiHimbeerJuice 0.644240; KoellnMuesliKnusperHonigNuss 0.641246; SpitzenReis 0.631255;
AlbiHimbeerJuice,AlbiHimbeerJuice,1,19,0,0.000237818,0.619651,0,AlbiHimbeerJuice 0.650538; KoellnMuesliKnusperHonigNuss 0.649558;
AlbiHimbeerJuice,AlbiHimbeerJuice,1,12,1,0.000220537,0.674719,0,AlbiHimbeerJuice 0.673436; KoellnMuesliKnusperHonigNuss 0.636802;
KoellnMuesliKnusperHonigNuss,AlbiHimbeerJuice,0,8,1,0.000310652,0.76459,0,KoellnMuesliKnusperHonigNuss 0.658879; AlbiHimbeerJuice 0.642138; SpitzenReis 0.621153;
AlbiHimbeerJuice,AlbiHimbeerJuice,1,17,0,0.000230224,0.621824,0,AlbiHimbeerJuice 0.662948; KoellnMuesliKnusperHonigNuss 0.650593; SpitzenReis 0.640521;
AlbiHimbeerJuice,AlbiHimbeerJuice,1,20,2,0.000218983,0.618358,0,AlbiHimbeerJuice 0.693139;
AlbiHimbeerJuice,AlbiHimbeerJuice,1,19,2,0.000229364,0.617265,0,AlbiHimbeerJuice 0.701609;
AlbiHimbeerJuice,AlbiHimbeerJuice,1,17,1,0.000220931,0.616751,0,AlbiHimbeerJuice 0.665969; KoellnMuesliKnusperHonigNuss 0.656684;
AlbiHimbeerJuice,AlbiHimbeerJuice,1,24,1,0.000230211,0.612462,0,AlbiHimbeerJuice 0.692383; KoellnMuesliKnusperHonigNuss 0.638894;
AlbiHimbeerJuice,AlbiHimbeerJuice,1,9,1,9.09039e-05,0.70681,0,AlbiHimbeerJuice 0.694919;
KoellnMuesliKnusperHonigNuss,KelloggsCornFlakes,0,11,1,8.54705e-05,0.703651,0,KoellnMuesliKnusperHonigNuss 0.634397; AlbiHimbeerJuice 0.628059; SpitzenReis 0.613209;
AlbiHimbeerJuice,KelloggsCornFlakes,0,11,1,8.30944e-05,0.703444,0,AlbiHimbeerJuice 0.708420;
AlbiHimbeerJuice,KelloggsCornFlakes,0,13,0,7.9998e-05,0.717285,0,AlbiHimbeerJuice 0.670455; KoellnMuesliKnusperHonigNuss 0.664709;
KoellnMuesliKnusperHonigNuss,KelloggsCornFlakes,0,13,0,8.31759e-05,0.705797,0,KoellnMuesliKnusperHonigNuss 0.660520; AlbiHimbeerJuice 0.653198; SpitzenReis 0.640085;
AlbiHimbeerJuice,KelloggsCornFlakes,0,9,1,8.18775e-05,0.715426,0,AlbiHimbeerJuice 0.677456; KoellnMuesliKnusperHonigNuss 0.654033;
AlbiHimbeerJuice,KelloggsCornFlakes,0,11,0,8.36132e-05,0.706944,0,AlbiHimbeerJuice 0.697267; KoellnMuesliKnusperHonigNuss 0.658503;
AlbiHimbeerJuice,KelloggsCornFlakes,0,12,0,8.57055e-05,0.721416,0,AlbiHimbeerJuice 0.667872; KoellnMuesliKnusperHonigNuss 0.649905;
AlbiHimbeerJuice,KelloggsCornFlakes,0,10,1,8.24624e-05,0.711477,0,AlbiHimbeerJuice 0.684704;
AlbiHimbeerJuice,KelloggsCornFlakes,0,13,3,8.49203e-05,0.709665,0,AlbiHimbeerJuice 0.689083; SojaMilch 0.641048;
KoellnMuesliKnusperHonigNuss,KelloggsCornFlakes,0,13,1,8.43341e-05,0.702163,0,KoellnMuesliKnusperHonigNuss 0.646140; AlbiHimbeerJuice 0.637808; SpitzenReis 0.616774; SojaMilch 0.613441;
AlbiHimbeerJuice,VollMilch,0,12,1,8.21642e-05,0.714623,0,AlbiHimbeerJuice 0.653970; KoellnMuesliKnusperHonigNuss 0.642987; SojaMilch 0.628247; SpitzenReis 0.626680;
KoellnMuesliKnusperHonigNuss,VollMilch,0,14,1,8.34353e-05,0.712387,0,KoellnMuesliKnusperHonigNuss 0.661508; AlbiHimbeerJuice 0.653985; SpitzenReis 0.633832; SojaMilch 0.627318;
AlbiHimbeerJuice,VollMilch,0,12,1,8.32754e-05,0.713807,0,AlbiHimbeerJuice 0.683103; KoellnMuesliKnusperHonigNuss 0.642834;
AlbiHimbeerJuice,VollMilch,0,15,0,8.15207e-05,0.715512,0,AlbiHimbeerJuice 0.666441; KoellnMuesliKnusperHonigNuss 0.640095; SpitzenReis 0.630331;
KoellnMuesliKnusperHonigNuss,VollMilch,0,14,1,7.89969e-05,0,0,KoellnMuesliKnusperHonigNuss 0.649581; AlbiHimbeerJuice 0.636816; SpitzenReis 0.630349; SojaMilch 0.617830;
AlbiHimbeerJuice,VollMilch,0,8,0,0.00118295,0.788013,0,AlbiHimbeerJuice 0.662522; KoellnMuesliKnusperHonigNuss 0.661609;
AlbiHimbeerJuice,VollMilch,0,11,0,0.00118331,0.730163,0,AlbiHimbeerJuice 0.654537; KoellnMuesliKnusperHonigNuss 0.636967;
KoellnMuesliKnusperHonigNuss,VollMilch,0,15,0,0.00120168,0.722883,0,KoellnMuesliKnusperHonigNuss 0.643876; AlbiHimbeerJuice 0.642644; SojaMilch 0.627446; SpitzenReis 0.627057;
AlbiHimbeerJuice,VollMilch,0,14,0,0.00124952,0.721285,0,AlbiHimbeerJuice 0.699345;
AlbiHimbeerJuice,VollMilch,0,14,0,0.0012199,0.728229,0,AlbiHimbeerJuice 0.685640; KoellnMuesliKnusperHonigNuss 0.653261;
AlbiHimbeerJuice,SpitzenReis,0,15,0,0.00125214,0.733939,0,AlbiHimbeerJuice 0.670049; KoellnMuesliKnusperHonigNuss 0.654675; SpitzenReis 0.641011;
KoellnMuesliKnusperHonigNuss,SpitzenReis,0,18,0,0.00122927,0.737594,0,KoellnMuesliKnusperHonigNuss 0.636974; AlbiHimbeerJuice 0.621571; SpitzenReis 0.615521;
AlbiHimbeerJuice,SpitzenReis,0,16,0,0.00123122,0.743287,0,AlbiHimbeerJuice 0.677740; KoellnMuesliKnusperHonigNuss 0.652675;
AlbiHimbeerJuice,SpitzenReis,0,22,0,0.00122749,0.742124,0,AlbiHimbeerJuice 0.674381; KoellnMuesliKnusperHonigNuss 0.636981;
AlbiHimbeerJuice,SpitzenReis,0,14,0,0.00119143,0.736964,0,AlbiHimbeerJuice 0.678183; KoellnMuesliKnusperHonigNuss 0.654779;
AlbiHimbeerJuice,SpitzenReis,0,12,0,0.00119558,0.72444,0,AlbiHimbeerJuice 0.669932; KoellnMuesliKnusperHonigNuss 0.656442;
AlbiHimbeerJuice,SpitzenReis,0,15,0,0.00122508,0.725523,0,AlbiHimbeerJuice 0.673295; KoellnMuesliKnusperHonigNuss 0.661789;
AlbiHimbeerJuice,SpitzenReis,0,10,0,0.00117484,0.769619,0,AlbiHimbeerJuice 0.677252; KoellnMuesliKnusperHonigNuss 0.661142; SpitzenReis 0.636315;
AlbiHimbeerJuice,SpitzenReis,0,16,0,0.00124545,0.717957,0,AlbiHimbeerJuice 0.679535; KoellnMuesliKnusperHonigNuss 0.656253; SpitzenReis 0.641970;
KoellnMuesliKnusperHonigNuss,SpitzenReis,0,9,0,0.00114721,0.747239,0,KoellnMuesliKnusperHonigNuss 0.658114; AlbiHimbeerJuice 0.655991; SojaMilch 0.632664; SpitzenReis 0.628483;
AlbiHimbeerJuice,PfannerGruneIcetea,0,9,1,0.0011431,0.752677,0,AlbiHimbeerJuice 0.684792; KoellnMuesliKnusperHonigNuss 0.652740; SojaMilch 0.647403;
AlbiHimbeerJuice,PfannerGruneIcetea,0,9,4,5.77003e-05,0.801541,0,AlbiHimbeerJuice 0.685739;
AlbiHimbeerJuice,PfannerGruneIcetea,0,9,4,5.40003e-05,0.794416,0,AlbiHimbeerJuice 0.672304; KoellnMuesliKnusperHonigNuss 0.647965;
AlbiHimbeerJuice,PfannerGruneIcetea,0,12,2,4.92576e-05,0.785313,0,AlbiHimbeerJuice 0.661136; KoellnMuesliKnusperHonigNuss 0.657267;
AlbiHimbeerJuice,PfannerGruneIcetea,0,9,4,4.11331e-05,0.773961,0,AlbiHimbeerJuice 0.689043; KoellnMuesliKnusperHonigNuss 0.652627; SpitzenReis 0.650774;
KoellnMuesliKnusperHonigNuss,PfannerGruneIcetea,0,10,6,4.80248e-05,0.804206,0,KoellnMuesliKnusperHonigNuss 0.675898; AlbiHimbeerJuice 0.658669; SpitzenReis 0.645267;
KoellnMuesliKnusperHonigNuss,PfannerGruneIcetea,0,13,5,4.45109e-05,0.783257,0,KoellnMuesliKnusperHonigNuss 0.647225; AlbiHimbeerJuice 0.643733; SpitzenReis 0.633305; SojaMilch 0.631416;
AlbiHimbeerJuice,PfannerGruneIcetea,0,9,6,4.24254e-05,0.78558,0,AlbiHimbeerJuice 0.690044; KoellnMuesliKnusperHonigNuss 0.659190;
AlbiHimbeerJuice,PfannerGruneIcetea,0,9,4,4.67088e-05,0.795712,0,AlbiHimbeerJuice 0.672521;
AlbiHimbeerJuice,PfannerGruneIcetea,0,11,5,5.05733e-05,0.787627,0,AlbiHimbeerJuice 0.677357; KoellnMuesliKnusperHonigNuss 0.637755;
KoellnMuesliKnusperHonigNuss,SojaMilch,0,11,4,4.6658e-05,0.788074,0,KoellnMuesliKnusperHonigNuss 0.665346; AlbiHimbeerJuice 0.654969; SpitzenReis 0.636212; SojaMilch 0.629919;
KoellnMuesliKnusperHonigNuss,SojaMilch,0,13,2,5.70355e-05,0.78999,0,KoellnMuesliKnusperHonigNuss 0.676606; AlbiHimbeerJuice 0.661130; SpitzenReis 0.641995; SojaMilch 0.634499;
AlbiHimbeerJuice,SojaMilch,0,10,5,5.78226e-05,0.790727,0,AlbiHimbeerJuice 0.685263; KoellnMuesliKnusperHonigNuss 0.657554;
AlbiHimbeerJuice,SojaMilch,0,10,4,4.43784e-05,0.781568,0,AlbiHimbeerJuice 0.660448; KoellnMuesliKnusperHonigNuss 0.655517; SojaMilch 0.635642;
AlbiHimbeerJuice,SojaMilch,0,12,4,6.05065e-05,0.797603,0,AlbiHimbeerJuice 0.671710; KoellnMuesliKnusperHonigNuss 0.662991; SpitzenReis 0.643090;
KoellnMuesliKnusperHonigNuss,SojaMilch,0,11,3,4.18531e-05,0.789269,0,KoellnMuesliKnusperHonigNuss 0.661307; AlbiHimbeerJuice 0.656327; SpitzenReis 0.645360;
AlbiHimbeerJuice,SojaMilch,0,15,4,0.000170077,0.803297,0,AlbiHimbeerJuice 0.711064;
KoellnMuesliKnusperHonigNuss,SojaMilch,0,17,3,0.000194139,0.783772,0,KoellnMuesliKnusperHonigNuss 0.661368; AlbiHimbeerJuice 0.653122; SojaMilch 0.632173;
AlbiHimbeerJuice,SojaMilch,0,17,5,0.000191237,0.794993,0,AlbiHimbeerJuice 0.666309; KoellnMuesliKnusperHonigNuss 0.646402;
AlbiHimbeerJuice,SojaMilch,0,13,4,0.000180813,0.805854,0,AlbiHimbeerJuice 0.676076; KoellnMuesliKnusperHonigNuss 0.654808;
KoellnMuesliKnusperHonigNuss,KoellnMuesliKnusperHonigNuss,1,60,6,9.12651e-06,0.754488,1,KoellnMuesliKnusperHonigNuss 0.693559;
KoellnMuesliKnusperHonigNuss,KoellnMuesliKnusperHonigNuss,1,53,8,7.09227e-06,0.758555,1,KoellnMuesliKnusperHonigNuss 0.700065;
KoellnMuesliKnusperHonigNuss,KoellnMuesliKnusperHonigNuss,1,63,9,8.62809e-06,0.75845,1,KoellnMuesliKnusperHonigNuss 0.666749;
KoellnMuesliKnusperHonigNuss,KoellnMuesliKnusperHonigNuss,1,62,8,8.29286e-06,0.753834,1,KoellnMuesliKnusperHonigNuss 0.686743;
KoellnMuesliKnusperHonigNuss,KoellnMuesliKnusperHonigNuss,1,64,7,7.47807e-06,0.753019,1,KoellnMuesliKnusperHonigNuss 0.689230;
KoellnMuesliKnusperHonigNuss,KoellnMuesliKnusperHonigNuss,1,62,7,8.7348e-06,0.753768,1,KoellnMuesliKnusperHonigNuss 0.688077;
KoellnMuesliKnusperHonigNuss,KoellnMuesliKnusperHonigNuss,1,59,7,8.05743e-06,0.756871,1,KoellnMuesliKnusperHonigNuss 0.697457;
KoellnMuesliKnusperHonigNuss,KoellnMuesliKnusperHonigNuss,1,69,7,7.68363e-06,0.753651,1,KoellnMuesliKnusperHonigNuss 0.680830;
KoellnMuesliKnusperHonigNuss,KoellnMuesliKnusperHonigNuss,1,61,6,7.8181e-06,0.756148,1,KoellnMuesliKnusperHonigNuss 0.686948;
KoellnMuesliKnusperHonigNuss,KoellnMuesliKnusperHonigNuss,1,62,6,7.25946e-06,0.752249,1,KoellnMuesliKnusperHonigNuss 0.698696;
KoellnMuesliKnusperHonigNuss,AlbiHimbeerJuice,0,10,2,4.8354e-05,0.82803,0,KoellnMuesliKnusperHonigNuss 0.694535;
KoellnMuesliKnusperHonigNuss,AlbiHimbeerJuice,0,10,2,4.3365e-05,0.820311,0,KoellnMuesliKnusperHonigNuss 0.698550;
KoellnMuesliKnusperHonigNuss,AlbiHimbeerJuice,0,8,1,6.01663e-05,0.822402,0,KoellnMuesliKnusperHonigNuss 0.685465;
KoellnMuesliKnusperHonigNuss,AlbiHimbeerJuice,0,10,2,5.54858e-05,0.826799,0,KoellnMuesliKnusperHonigNuss 0.692808;
KoellnMuesliKnusperHonigNuss,AlbiHimbeerJuice,0,10,3,5.15794e-05,0.820503,0,KoellnMuesliKnusperHonigNuss 0.670902;
KoellnMuesliKnusperHonigNuss,AlbiHimbeerJuice,0,9,4,4.03835e-05,0.821987,0,KoellnMuesliKnusperHonigNuss 0.705440;
KoellnMuesliKnusperHonigNuss,AlbiHimbeerJuice,0,10,3,5.08792e-05,0.826752,0,KoellnMuesliKnusperHonigNuss 0.666969;
KoellnMuesliKnusperHonigNuss,AlbiHimbeerJuice,0,11,1,5.5049e-05,0.81913,0,KoellnMuesliKnusperHonigNuss 0.687506;
KoellnMuesliKnusperHonigNuss,AlbiHimbeerJuice,0,10,3,2.81969e-05,0.819148,0,KoellnMuesliKnusperHonigNuss 0.690321;
KoellnMuesliKnusperHonigNuss,AlbiHimbeerJuice,0,7,2,5.12233e-05,0.827767,0,KoellnMuesliKnusperHonigNuss 0.669025;
KoellnMuesliKnusperHonigNuss,KelloggsCornFlakes,0,12,1,0.000612116,0.860437,0,KoellnMuesliKnusperHonigNuss 0.674811;
KoellnMuesliKnusperHonigNuss,KelloggsCornFlakes,0,11,2,0.000603893,0.873593,0,KoellnMuesliKnusperHonigNuss 0.690746;
KoellnMuesliKnusperHonigNuss,KelloggsCornFlakes,0,11,2,0.000618899,0.85738,0,KoellnMuesliKnusperHonigNuss 0.696357;
KoellnMuesliKnusperHonigNuss,KelloggsCornFlakes,0,10,3,0.000592977,0.863392,0,KoellnMuesliKnusperHonigNuss 0.698997;
KoellnMuesliKnusperHonigNuss,KelloggsCornFlakes,0,9,1,0.000626849,0.899249,0,KoellnMuesliKnusperHonigNuss 0.686493;
KoellnMuesliKnusperHonigNuss,KelloggsCornFlakes,0,11,3,0.000612162,0.865115,0,KoellnMuesliKnusperHonigNuss 0.690540;
KoellnMuesliKnusperHonigNuss,KelloggsCornFlakes,0,13,1,0.000608356,0.866325,0,KoellnMuesliKnusperHonigNuss 0.680943;
KoellnMuesliKnusperHonigNuss,KelloggsCornFlakes,0,11,2,0.000634443,0.861354,0,KoellnMuesliKnusperHonigNuss 0.685899;
